"NAMA_TIM","GROUP","NAMA_PEMAIN","NOPUNG","KAPTEN"
"Pelita Jaya Jakarta","Group A","Andakara Prastawa","7","Ya"
"Pelita Jaya Jakarta","Group A","Agassi Goantara","1","Tidak"
"Pelita Jaya Jakarta","Group A","Reza Guntara","13","Tidak"
"Pelita Jaya Jakarta","Group A","Vincent Kosasih","22","Tidak"
"Pelita Jaya Jakarta","Group A","Hendrick Yonga","3","Tidak"
"Pelita Jaya Jakarta","Group A","Brandon Jawato","0","Tidak"
"Pelita Jaya Jakarta","Group A","Jerome Anthony","21","Tidak"
"Pelita Jaya Jakarta","Group A","Aldy Izzatur","2","Tidak"
"Pelita Jaya Jakarta","Group A","K.J. McDaniels","32","Tidak"
"Pelita Jaya Jakarta","Group A","Justin Brownlee","31","Tidak"
"Pelita Jaya Jakarta","Group A","Muhamad Arighi","11","Tidak"
"Pelita Jaya Jakarta","Group A","Abiyyu Ramadhan","15","Tidak"
"Satria Muda Pertamina","Group A","Arki Dikania Wisnu","33","Ya"
"Satria Muda Pertamina","Group A","Juan Laurent Kokodiputra","4","Tidak"
"Satria Muda Pertamina","Group A","Hardianus Ruslak","8","Tidak"
"Satria Muda Pertamina","Group A","Laurentius Steven Oei","23","Tidak"
"Satria Muda Pertamina","Group A","Antoni Erga","11","Tidak"
"Satria Muda Pertamina","Group A","Sandy Ibrahim","12","Tidak"
"Satria Muda Pertamina","Group A","Widyanta Putra Teja","71","Tidak"
"Satria Muda Pertamina","Group A","Ali Bagir","14","Tidak"
"Satria Muda Pertamina","Group A","Dame Diagne","18","Tidak"
"Satria Muda Pertamina","Group A","Avan Seputra","2","Tidak"
"Satria Muda Pertamina","Group A","Karl Patrick Utiarahman","24","Tidak"
"Satria Muda Pertamina","Group A","Julian Chalias","3","Tidak"
"Prawira Harum Bandung","Group A","Yudha Saputera","8","Ya"
"Prawira Harum Bandung","Group A","Abraham Damar Grahita","4","Tidak"
"Prawira Harum Bandung","Group A","Indra Muhammad","10","Tidak"
"Prawira Harum Bandung","Group A","Hans Abraham","13","Tidak"
"Prawira Harum Bandung","Group A","Pandu Wiguna","34","Tidak"
"Prawira Harum Bandung","Group A","Fernando Manansang","21","Tidak"
"Prawira Harum Bandung","Group A","Kelvin Sanjaya","17","Tidak"
"Prawira Harum Bandung","Group A","Fhirdan Guntara","12","Tidak"
"Prawira Harum Bandung","Group A","Sulthan Fauzan","1","Tidak"
"Prawira Harum Bandung","Group A","Rizal Falconi","77","Tidak"
"Prawira Harum Bandung","Group A","Teemo Tan","5","Tidak"
"Prawira Harum Bandung","Group A","David Singleton","9","Tidak"
"Dewa United Banten","Group A","Kaleb Ramot Gemilang","13","Ya"
"Dewa United Banten","Group A","Hardianus","8","Tidak"
"Dewa United Banten","Group A","Dio Tirta","2","Tidak"
"Dewa United Banten","Group A","Bryan Fernando","5","Tidak"
"Dewa United Banten","Group A","Kevin Moses","23","Tidak"
"Dewa United Banten","Group A","Firman Dwi Nugroho","16","Tidak"
